InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
553206,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/1/16,10.95,14156
553207,23203,FARM ANIMAL DOILEY PATTERNS,20,6/1/16,2.08,17001
553208,23084,RABBIT NIGHT LIGHT,6,6/1/16,2.08,12674
553209,85099B,JUMBO BAG RED FOX,12,6/1/16,1.65,13777
553210,47566,OWL PARTY BUNTING,50,6/1/16,4.15,14016
553210,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/1/16,10.95,14016
553213,23203,FARM ANIMAL DOILEY PATTERNS,100,6/1/16,1.79,13408
553220,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/1/16,0.55,13319
553220,22423,REGENCY CAKESTAND 3 TIER RHINO,4,6/1/16,12.75,13319
553220,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/1/16,4.25,13319
553220,47566,OWL PARTY BUNTING,12,6/1/16,4.95,13319
553220,23203,FARM ANIMAL DOILEY PATTERNS,10,6/1/16,2.08,13319
553220,85099B,JUMBO BAG RED FOX,10,6/1/16,2.08,13319
553221,23084,RABBIT NIGHT LIGHT,6,6/1/16,2.08,16607
553224,22382,LUNCH BAG SPACECHIMP DESIGN ,4,6/1/16,1.65,17228
553225,47566,OWL PARTY BUNTING,8,6/1/16,4.95,16912
553226,23203,FARM ANIMAL DOILEY PATTERNS,10,6/1/16,1.95,16912
553229,21080,SET/20 DOLPHIN PAPER NAPKINS ,16,6/1/16,0.85,15039
553229,23203,FARM ANIMAL DOILEY PATTERNS,10,6/1/16,2.08,15039
553235,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/1/16,2.55,13018
553235,23084,RABBIT NIGHT LIGHT,6,6/1/16,2.08,13018
553315,47566,OWL PARTY BUNTING,50,6/1/16,4.15,16705
553315,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/1/16,3.75,16705
553316,23084,RABBIT NIGHT LIGHT,6,6/1/16,2.08,12682
553339,23203,FARM ANIMAL DOILEY PATTERNS,100,6/1/16,1.79,15125
553340,85099B,JUMBO BAG RED FOX,100,6/1/16,1.79,15125
553340,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/1/16,12.75,15125
553340,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/1/16,0.55,15125
553340,21080,SET/20 DOLPHIN PAPER NAPKINS ,24,6/1/16,0.85,15125
553345,47566,OWL PARTY BUNTING,2,6/1/16,4.95,16729
553345,22382,LUNCH BAG SPACECHIMP DESIGN ,2,6/1/16,1.65,16729
553347,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/1/16,0.55,14755
553347,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/1/16,12.75,14755
553351,21212,PACK OF 72 LADYBUG CAKE CASES,5,6/1/16,0.55,18118
553351,84596F,STARFISH SOAP DISH,8,6/1/16,0.42,18118
553351,85099B,JUMBO BAG RED FOX,1,6/1/16,2.08,18118
553363,47566,OWL PARTY BUNTING,8,6/1/16,4.95,13650
553363,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/1/16,12.75,13650
553363,23203,FARM ANIMAL DOILEY PATTERNS,10,6/1/16,2.08,13650
553369,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/1/16,12.75,15044
553374,85099B,JUMBO BAG RED FOX,10,6/1/16,2.08,14489
553374,22382,LUNCH BAG SPACECHIMP DESIGN ,10,6/1/16,1.65,14489
553375,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/1/16,3.75,14911
553375,22423,REGENCY CAKESTAND 3 TIER RHINO,6,6/1/16,12.75,14911
553377,23203,FARM ANIMAL DOILEY PATTERNS,10,6/1/16,1.95,14888
553381,47566,OWL PARTY BUNTING,4,6/1/16,4.95,13456
553384,22382,LUNCH BAG SPACECHIMP DESIGN ,4,6/1/16,1.65,16899
553385,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/1/16,12.75,16710
553386,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/1/16,0.55,13381
553388,23084,RABBIT NIGHT LIGHT,2,6/1/16,2.08,15910
553392,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/1/16,0.55,16131
553402,23084,RABBIT NIGHT LIGHT,4,6/1/16,2.08,17898
553411,23084,RABBIT NIGHT LIGHT,12,6/2/16,2.08,12714
553411,23203,FARM ANIMAL DOILEY PATTERNS,10,6/2/16,2.08,12714
553411,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/2/16,12.75,12714
553411,22382,LUNCH BAG SPACECHIMP DESIGN ,10,6/2/16,1.65,12714
553415,23084,RABBIT NIGHT LIGHT,6,6/2/16,2.08,12463
553415,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/2/16,12.75,12463
553417,23203,FARM ANIMAL DOILEY PATTERNS,10,6/2/16,2.08,13871
553417,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/2/16,12.75,13871
553417,23084,RABBIT NIGHT LIGHT,6,6/2/16,2.08,13871
553417,85099B,JUMBO BAG RED FOX,10,6/2/16,2.08,13871
553418,23203,FARM ANIMAL DOILEY PATTERNS,20,6/2/16,1.95,18257
553420,47566,OWL PARTY BUNTING,4,6/2/16,4.95,17519
553423,21080,SET/20 DOLPHIN PAPER NAPKINS ,1,6/2/16,0.85,17811
553461,22423,REGENCY CAKESTAND 3 TIER RHINO,3,6/2/16,12.75,16316
553461,47566,OWL PARTY BUNTING,8,6/2/16,4.95,16316
553461,85099B,JUMBO BAG RED FOX,10,6/2/16,2.08,16316
553462,22423,REGENCY CAKESTAND 3 TIER RHINO,8,6/2/16,12.75,17147
553469,85099B,JUMBO BAG RED FOX,100,6/2/16,1.74,16029
553471,22960,JAM MAKING SET WITH JARS BALD EAGLE,48,6/2/16,2.96,18102
553472,22423,REGENCY CAKESTAND 3 TIER RHINO,8,6/2/16,12.75,15093
553472,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/2/16,2.55,15093
553476,47566,OWL PARTY BUNTING,4,6/2/16,4.95,14221
553477,85099B,JUMBO BAG RED FOX,10,6/2/16,2.08,14239
553487,85099B,JUMBO BAG RED FOX,2,6/2/16,2.08,13246
553488,22382,LUNCH BAG SPACECHIMP DESIGN ,1,6/2/16,1.65,18043
553488,23203,FARM ANIMAL DOILEY PATTERNS,1,6/2/16,2.08,18043
553489,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/2/16,12.75,15730
553489,23084,RABBIT NIGHT LIGHT,6,6/2/16,2.08,15730
553496,47566,OWL PARTY BUNTING,4,6/2/16,4.95,14410
553504,47566,OWL PARTY BUNTING,4,6/2/16,4.95,13310
553505,47566,OWL PARTY BUNTING,4,6/2/16,4.95,12949
553522,22382,LUNCH BAG SPACECHIMP DESIGN ,2,6/2/16,1.65,15005
553522,84596B,TIGER MIX DESIGN ORANGE BOWL,8,6/2/16,0.42,15005
553524,21175,SEEYA LATER ALLIGATOR METAL SIGN,3,6/2/16,2.55,15570
553527,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/2/16,12.75,15123
553537,23084,RABBIT NIGHT LIGHT,12,6/2/16,2.08,14032
553538,22382,LUNCH BAG SPACECHIMP DESIGN ,3,6/2/16,1.65,15855
553538,23084,RABBIT NIGHT LIGHT,6,6/2/16,2.08,15855
553546,47566,OWL PARTY BUNTING,100,6/2/16,4.15,12415
553547,21080,SET/20 DOLPHIN PAPER NAPKINS ,12,6/2/16,0.85,12474
553547,23084,RABBIT NIGHT LIGHT,18,6/2/16,2.08,12474
553551,22423,REGENCY CAKESTAND 3 TIER RHINO,20,6/2/16,5,13631
553552,85099B,JUMBO BAG RED FOX,20,6/2/16,2.08,17702
553552,23203,FARM ANIMAL DOILEY PATTERNS,20,6/2/16,2.08,17702
553553,23203,FARM ANIMAL DOILEY PATTERNS,10,6/2/16,1.95,16156
553553,23084,RABBIT NIGHT LIGHT,12,6/2/16,2.08,16156
553556,23203,FARM ANIMAL DOILEY PATTERNS,2,6/2/16,2.08,17530
553565,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/3/16,2.55,17505
553566,23084,RABBIT NIGHT LIGHT,12,6/3/16,2.08,12690
553572,47566,OWL PARTY BUNTING,4,6/3/16,4.95,18223
553572,85099B,JUMBO BAG RED FOX,10,6/3/16,2.08,18223
553574,21080,SET/20 DOLPHIN PAPER NAPKINS ,96,6/3/16,0.72,16422
553575,47566,OWL PARTY BUNTING,4,6/3/16,4.95,18260
553575,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/3/16,0.55,18260
553577,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/3/16,0.55,12437
553577,47566,OWL PARTY BUNTING,12,6/3/16,4.95,12437
553578,47566,OWL PARTY BUNTING,36,6/3/16,4.95,13767
553607,22960,JAM MAKING SET WITH JARS BALD EAGLE,60,6/3/16,3.75,16684
553607,23203,FARM ANIMAL DOILEY PATTERNS,100,6/3/16,1.79,16684
553650,47566,OWL PARTY BUNTING,4,6/3/16,4.95,14731
553650,84596F,STARFISH SOAP DISH,32,6/3/16,0.42,14731
553653,23084,RABBIT NIGHT LIGHT,24,6/3/16,1.79,16701
553655,47566,OWL PARTY BUNTING,4,6/3/16,4.95,16775
553657,84596F,STARFISH SOAP DISH,4,6/3/16,0.42,14583
553657,84596F,STARFISH SOAP DISH,2,6/3/16,0.42,14583
553657,84596B,TIGER MIX DESIGN ORANGE BOWL,2,6/3/16,0.42,14583
553657,84596B,TIGER MIX DESIGN ORANGE BOWL,2,6/3/16,0.42,14583
553657,84596F,STARFISH SOAP DISH,2,6/3/16,0.42,14583
553657,84596F,STARFISH SOAP DISH,3,6/3/16,0.42,14583
553663,21080,SET/20 DOLPHIN PAPER NAPKINS ,3,6/3/16,0.85,14527
553663,85099B,JUMBO BAG RED FOX,30,6/3/16,2.08,14527
553664,47566,OWL PARTY BUNTING,2,6/3/16,4.95,16906
553668,23203,FARM ANIMAL DOILEY PATTERNS,10,6/3/16,1.95,13993
553668,22423,REGENCY CAKESTAND 3 TIER RHINO,4,6/3/16,12.75,13993
553672,47566,OWL PARTY BUNTING,4,6/3/16,4.95,15811
553672,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/3/16,12.75,15811
553675,21080,SET/20 DOLPHIN PAPER NAPKINS ,12,6/3/16,0.85,13719
553678,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/3/16,4.25,14009
553678,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/3/16,0.55,14009
553678,23203,FARM ANIMAL DOILEY PATTERNS,10,6/3/16,1.95,14009
553679,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/3/16,2.55,14565
553679,23203,FARM ANIMAL DOILEY PATTERNS,10,6/3/16,2.08,14565
553682,85099B,JUMBO BAG RED FOX,100,6/3/16,1.79,14646
553685,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/3/16,3.75,18097
553686,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/3/16,3.75,14911
553686,22423,REGENCY CAKESTAND 3 TIER RHINO,4,6/3/16,12.75,14911
553686,84596B,TIGER MIX DESIGN ORANGE BOWL,24,6/3/16,0.42,14911
553686,47566,OWL PARTY BUNTING,4,6/3/16,4.95,14911
553686,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/3/16,0.55,14911
553689,85099B,JUMBO BAG RED FOX,6,6/3/16,1.79,17389
553702,21175,SEEYA LATER ALLIGATOR METAL SIGN,2,6/3/16,2.55,13263
553702,84596B,TIGER MIX DESIGN ORANGE BOWL,2,6/3/16,0.42,13263
553703,23084,RABBIT NIGHT LIGHT,6,6/3/16,2.08,13192
553706,23084,RABBIT NIGHT LIGHT,6,6/3/16,2.08,13854
553707,23203,FARM ANIMAL DOILEY PATTERNS,10,6/3/16,2.08,16843
553707,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/3/16,3.75,16843
553709,22423,REGENCY CAKESTAND 3 TIER RHINO,6,6/3/16,12.75,13767
553712,23203,FARM ANIMAL DOILEY PATTERNS,30,6/3/16,1.95,13552
553713,21212,PACK OF 72 LADYBUG CAKE CASES,120,6/3/16,0.42,13798
553721,23203,FARM ANIMAL DOILEY PATTERNS,10,6/3/16,1.95,16570
553724,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/3/16,12.75,17047
553724,85099B,JUMBO BAG RED FOX,10,6/3/16,2.08,17047
553724,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/3/16,2.55,17047
553727,85099B,JUMBO BAG RED FOX,20,6/3/16,2.08,13531
553732,23203,FARM ANIMAL DOILEY PATTERNS,10,6/4/16,1.95,12481
