InvoiceNo,StockCode,Description,Quantity,InvoiceDate,InvoiceTime,UnitPrice,CustomerID,Revenue,TotalCartRevenue,TotalCartSize
553206,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/1/16,8:16,10.95,14156,175.2,175.2,16
553207,23203,FARM ANIMAL DOILEY PATTERNS,20,6/1/16,9:02,2.08,17001,41.6,41.6,20
553208,23084,RABBIT NIGHT LIGHT,6,6/1/16,9:10,2.08,12674,12.48,12.48,6
553209,85099B,JUMBO BAG RED FOX,12,6/1/16,9:23,1.65,13777,19.8,19.8,12
553210,47566,OWL PARTY BUNTING,50,6/1/16,9:40,4.15,14016,207.5,382.7,66
553210,22423,REGENCY CAKESTAND 3 TIER RHINO,16,6/1/16,9:40,10.95,14016,175.2,382.7,66
553213,23203,FARM ANIMAL DOILEY PATTERNS,100,6/1/16,9:49,1.79,13408,179,179,100
553220,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/1/16,9:57,0.55,13319,13.2,190.7,66
553220,22423,REGENCY CAKESTAND 3 TIER RHINO,4,6/1/16,9:57,12.75,13319,51,190.7,66
553220,22960,JAM MAKING SET WITH JARS BALD EAGLE,6,6/1/16,9:57,4.25,13319,25.5,190.7,66
553220,47566,OWL PARTY BUNTING,12,6/1/16,9:57,4.95,13319,59.4,190.7,66
553220,23203,FARM ANIMAL DOILEY PATTERNS,10,6/1/16,9:57,2.08,13319,20.8,190.7,66
553220,85099B,JUMBO BAG RED FOX,10,6/1/16,9:57,2.08,13319,20.8,190.7,66
553221,23084,RABBIT NIGHT LIGHT,6,6/1/16,9:58,2.08,16607,12.48,12.48,6
553224,22382,LUNCH BAG SPACECHIMP DESIGN ,4,6/1/16,10:40,1.65,17228,6.6,6.6,4
553225,47566,OWL PARTY BUNTING,8,6/1/16,10:41,4.95,16912,39.6,39.6,8
553226,23203,FARM ANIMAL DOILEY PATTERNS,10,6/1/16,10:43,1.95,16912,19.5,19.5,10
553229,21080,SET/20 DOLPHIN PAPER NAPKINS ,16,6/1/16,10:50,0.85,15039,13.6,34.4,26
553229,23203,FARM ANIMAL DOILEY PATTERNS,10,6/1/16,10:50,2.08,15039,20.8,34.4,26
553235,21175,SEEYA LATER ALLIGATOR METAL SIGN,12,6/1/16,11:13,2.55,13018,30.6,43.08,18
553235,23084,RABBIT NIGHT LIGHT,6,6/1/16,11:13,2.08,13018,12.48,43.08,18
553315,47566,OWL PARTY BUNTING,50,6/1/16,12:03,4.15,16705,207.5,252.5,62
553315,22960,JAM MAKING SET WITH JARS BALD EAGLE,12,6/1/16,12:03,3.75,16705,45,252.5,62
553316,23084,RABBIT NIGHT LIGHT,6,6/1/16,12:04,2.08,12682,12.48,12.48,6
553339,23203,FARM ANIMAL DOILEY PATTERNS,100,6/1/16,12:19,1.79,15125,179,179,100
553340,85099B,JUMBO BAG RED FOX,100,6/1/16,12:20,1.79,15125,179,238.1,150
553340,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/1/16,12:20,12.75,15125,25.5,238.1,150
553340,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/1/16,12:20,0.55,15125,13.2,238.1,150
553340,21080,SET/20 DOLPHIN PAPER NAPKINS ,24,6/1/16,12:20,0.85,15125,20.4,238.1,150
553345,47566,OWL PARTY BUNTING,2,6/1/16,12:53,4.95,16729,9.9,13.2,4
553345,22382,LUNCH BAG SPACECHIMP DESIGN ,2,6/1/16,12:53,1.65,16729,3.3,13.2,4
553347,21212,PACK OF 72 LADYBUG CAKE CASES,24,6/1/16,12:59,0.55,14755,13.2,25.95,25
553347,22423,REGENCY CAKESTAND 3 TIER RHINO,1,6/1/16,12:59,12.75,14755,12.75,25.95,25
553351,21212,PACK OF 72 LADYBUG CAKE CASES,5,6/1/16,13:35,0.55,18118,2.75,8.19,14
553351,84596F,STARFISH SOAP DISH,8,6/1/16,13:35,0.42,18118,3.36,8.19,14
553351,85099B,JUMBO BAG RED FOX,1,6/1/16,13:35,2.08,18118,2.08,8.19,14
553363,47566,OWL PARTY BUNTING,8,6/1/16,14:19,4.95,13650,39.6,85.9,20
553363,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/1/16,14:19,12.75,13650,25.5,85.9,20
553363,23203,FARM ANIMAL DOILEY PATTERNS,10,6/1/16,14:19,2.08,13650,20.8,85.9,20
553369,22423,REGENCY CAKESTAND 3 TIER RHINO,2,6/1/16,14:30,12.75,15044,25.5,25.5,2
553374,85099B,JUMBO BAG RED FOX,10,6/1/16,14:51,2.08,14489,20.8,37.3,20
553374,22382,LUNCH BAG SPACECHIMP DESIGN ,10,6/1/16,14:51,1.65,14489,16.5,37.3,20
